gene_name,family,species_label,container,n_samples,mean_rel_exp,median_rel_exp,max_rel_exp
SLCO1B1,SLCO,Mouse,Esophagus,1,2.4001558183419004e-4,2.4001558183419004e-4,2.4001558183419004e-4
SLCO1B1,SLCO,Mouse,Fat,139,0.002045164984368364,0.001260566154325202,0.015774154772658894
SLCO1B1,SLCO,Mouse,Gonads,84,7.787235211506276e-4,5.68175414006584e-4,0.00327575131476581
SLCO1B1,SLCO,Mouse,Heart,95,6.042793454143856e-4,4.6059331779678425e-4,0.0043043187150871316
SLCO1B1,SLCO,Mouse,Kidney,118,5.804319483349796e-4,2.4172092053892266e-4,0.02067312290165352
SLCO1B1,SLCO,Mouse,LargeIntestine,5,2.1661909064005363e-4,2.2388974899087684e-4,3.8403707315234193e-4
SLCO1B1,SLCO,Mouse,LowerIleum,60,5.336650528061054e-4,2.815851355842199e-4,0.005477399021570707
SLCO1B1,SLCO,Mouse,LowerJejunum,60,5.353826456615762e-4,2.815851355842199e-4,0.005477399021570707
SLCO1B1,SLCO,Mouse,Lung,103,0.003918163697391597,0.0018148975230449342,0.07652930122681577
SLCO1B1,SLCO,Mouse,Muscle,66,3.6449563518344046e-4,1.4489612202104669e-4,0.0018386843070036006
SLCO1B1,SLCO,Mouse,Pancreas,47,0.008749378302585866,0.004312723602537584,0.05468762347969821
SLCO1B1,SLCO,Mouse,Pericentral,314,0.12502015086407425,0.11565277308592277,1
SLCO1B1,SLCO,Mouse,Periportal,314,0.12502015086407425,0.11565277308592277,1
SLCO1B1,SLCO,Mouse,Placenta,7,0.001959958450808976,0.001886842668926961,0.004850613004984739
SLCO1B1,SLCO,Mouse,Plasma,6,1.4162419075025546e-4,1.3500191631421368e-4,1.8382212944742155e-4
SLCO1B1,SLCO,Mouse,Rectum,5,2.1661909064005363e-4,2.2388974899087684e-4,3.8403707315234193e-4
SLCO1B1,SLCO,Mouse,Skin,126,0.004595334217803843,0.0030880847375714037,0.0287323579943942
SLCO1B1,SLCO,Mouse,SmallIntestine,65,5.027115915973263e-4,2.592791010589827e-4,0.005477399021570707
SLCO1B1,SLCO,Mouse,Spleen,88,0.004053254348170728,0.0020703832112717105,0.07061912241546693
SLCO1B1,SLCO,Mouse,Stomach,8,1.3474504057795554e-4,1.25657329198965e-4,2.1145013580685918e-4
SLCO1B1,SLCO,Mouse,Thymus,5,3.394776399126447e-4,3.3867471172473786e-4,5.029914546100538e-4
SLCO1B1,SLCO,Mouse,Undefined,5,0.002704394900401777,1.5968154405688703e-4,0.012739705584453552
SLCO1B1,SLCO,Mouse,UpperIleum,60,5.336650528061054e-4,2.815851355842199e-4,0.005477399021570707
SLCO1B1,SLCO,Mouse,UpperJejunum,60,5.353826456615762e-4,2.815851355842199e-4,0.005477399021570707
SLCO1B3,SLCO,Human,BloodCells,39,0.0022061835656794005,0.0018877708711931309,0.009550918289357373
SLCO1B3,SLCO,Human,Brain,81,0.0035025508029963713,0.0011892003707250234,0.0766111114692735
SLCO1B3,SLCO,Human,Breasts,2,0.008412505104322213,0.008412505104322213,0.01529852811173096
SLCO1B3,SLCO,Human,Caecum,12,0.004057170736139987,0.002587513121994271,0.017141095893252675
SLCO1B3,SLCO,Human,ColonAscendens,12,0.004057170736139987,0.002587513121994271,0.017141095893252675
SLCO1B3,SLCO,Human,ColonDescendens,12,0.004057170736139987,0.002587513121994271,0.017141095893252675
SLCO1B3,SLCO,Human,ColonSigmoid,41,0.0024552043206618104,0.0016665943905996082,0.017141095893252675
SLCO1B3,SLCO,Human,ColonTransversum,63,0.002334494967656815,0.001194726361366273,0.017141095893252675
SLCO1B3,SLCO,Human,Duodenum,8,0.004875189118166367,0.0032752485749883028,0.017141095893252675
SLCO1B3,SLCO,Human,Embryo,3,0.0018142260327051595,0.0021201204309586274,0.0024967764811824056
SLCO1B3,SLCO,Human,Endometrium,42,0.01013507005878876,0.00246702147052874,0.19536132396120648
SLCO1B3,SLCO,Human,Esophagus,6,0.010777672644174155,0.012025632216259139,0.01683682752543541
SLCO1B3,SLCO,Human,Eye,30,0.01485554297255486,0.005574237812901707,0.09998021808489457
SLCO1B3,SLCO,Human,Fat,48,0.0017534838206448838,9.499023337772671e-4,0.015902838183607344
SLCO1B3,SLCO,Human,GallBladder,7,0.010980185015273628,0.005409155521249974,0.02584934190414433
SLCO1B3,SLCO,Human,Gonads,228,0.011326460497538137,0.008238657669687764,0.06197152739401534
SLCO1B3,SLCO,Human,Heart,16,0.002098089709515009,6.137619949365528e-4,0.01127523004737963
SLCO1B3,SLCO,Human,Kidney,7,0.006575895622182998,0.001965095489342443,0.034786456063048324
SLCO1B3,SLCO,Human,LargeIntestine,97,0.0022571623640127666,0.0012165963072020341,0.017141095893252675
SLCO1B3,SLCO,Human,LowerIleum,6,0.005141875401191105,0.0032752485749883028,0.017141095893252675
SLCO1B3,SLCO,Human,LowerJejunum,6,0.005141875401191105,0.0032752485749883028,0.017141095893252675
SLCO1B3,SLCO,Human,Lung,7,0.004152339748915043,0.0022817130006294313,0.013699114263705943
SLCO1B3,SLCO,Human,LymphNode,36,0.00325967194390506,0.0013718485811502672,0.01909619292760535
SLCO1B3,SLCO,Human,Muscle,26,8.609907876060317e-4,3.461054278852255e-4,0.005013665452156414
SLCO1B3,SLCO,Human,Myometrium,3,0.004399152525324125,0.0030786184502000955,0.009007251130496049
SLCO1B3,SLCO,Human,Pancreas,49,0.00821628354566482,0.0018729802292017353,0.26596230235180396
SLCO1B3,SLCO,Human,Pericentral,130,0.21923797111488014,0.18903824898674138,1
SLCO1B3,SLCO,Human,Periportal,130,0.21923797111488014,0.18903824898674138,1
SLCO1B3,SLCO,Human,Placenta,4,0.0016176648955305508,0.001365781850070782,0.003132488916652879
SLCO1B3,SLCO,Human,Plasma,28,0.002093437940499142,0.0015270695436100379,0.016388479856778305
SLCO1B3,SLCO,Human,Rectum,15,0.0038959762224055642,0.0027310798432877803,0.017141095893252675
SLCO1B3,SLCO,Human,SalivaryGland,41,0.015127181350279656,0.005246061760463264,0.2723631524045249
SLCO1B3,SLCO,Human,Skin,37,0.00155625363412548,0.0012285350781985533,0.0040761361065635195
SLCO1B3,SLCO,Human,SmallIntestine,8,0.004875189118166367,0.0032752485749883028,0.017141095893252675
SLCO1B3,SLCO,Human,Spleen,10,0.015129506727876529,0.0020750754419855966,0.13291627540079676
SLCO1B3,SLCO,Human,Stomach,44,0.006849516686019879,0.0013026823495727185,0.11982363757655486
SLCO1B3,SLCO,Human,Thyroid,78,0.005144092132660806,0.002569422656412329,0.03523995955399984
SLCO1B3,SLCO,Human,Undefined,204,0.020073371627871903,0.015378303925762294,0.22808396364510344
