Stage.name;Stage.ID
20-WEEK-OLD STAGE (PIG);SscrDv:0000053
5-MONTH-OLD STAGE (PIG);SscrDv:0000054
22-WEEK-OLD STAGE (PIG);SscrDv:0000056
23-WEEK-OLD STAGE (PIG);SscrDv:0000057
24-WEEK-OLD STAGE (PIG);SscrDv:0000058
6-MONTH-OLD STAGE (PIG);SscrDv:0000059
7-MONTH-OLD STAGE (PIG);SscrDv:0000060
8-MONTH-OLD STAGE (PIG);SscrDv:0000061
10-MONTH-OLD STAGE (PIG);SscrDv:0000063
1-YEAR-OLD STAGE (PIG);SscrDv:0000065
2-YEAR-OLD STAGE (PIG);SscrDv:0000066
3-YEAR-OLD STAGE (PIG);SscrDv:0000067
2-DAY-OLD STAGE (PIG);SscrDv:0000074
FULLY FORMED STAGE;UBERON:0000066
EMBRYO STAGE;UBERON:0000068
LARVAL STAGE;UBERON:0000069
LIFE CYCLE;UBERON:0000104
ZYGOTE STAGE;UBERON:0000106
CLEAVAGE STAGE;UBERON:0000107
NEURULA STAGE;UBERON:0000110
SEXUALLY IMMATURE STAGE;UBERON:0000112
POST-JUVENILE;UBERON:0000113
PHARYNGULA STAGE;UBERON:0004707
LATE EMBRYONIC STAGE;UBERON:0007220
NEONATE STAGE;UBERON:0007221
LATE ADULT STAGE;UBERON:0007222
2 CELL STAGE;UBERON:0007232
8 CELL STAGE;UBERON:0007236
PRIME ADULT STAGE;UBERON:0018241
NURSING STAGE;UBERON:0018685
JUVENILE STAGE;UBERON:0034919
INFANT STAGE;UBERON:0034920
CLEAVAGE:32-CELL (DANIO);ZFS:0000006
CLEAVAGE:64-CELL (DANIO);ZFS:0000007
BLASTULA:1K-CELL (DANIO);ZFS:0000011
BLASTULA:DOME (DANIO);ZFS:0000015
BLASTULA:30%-EPIBOLY (DANIO);ZFS:0000016
GASTRULA:SHIELD (DANIO);ZFS:0000019
GASTRULA:75%-EPIBOLY (DANIO);ZFS:0000020
GASTRULA:90%-EPIBOLY (DANIO);ZFS:0000021
GASTRULA:BUD (DANIO);ZFS:0000022
SEGMENTATION:5-9 SOMITES (DANIO);ZFS:0000024
SEGMENTATION:14-19 SOMITES (DANIO);ZFS:0000026
SEGMENTATION:20-25 SOMITES (DANIO);ZFS:0000027
PHARYNGULA:PRIM-5 (DANIO);ZFS:0000029
PHARYNGULA:PRIM-15 (DANIO);ZFS:0000030
PHARYNGULA:PRIM-25 (DANIO);ZFS:0000031
HATCHING:LONG-PEC (DANIO);ZFS:0000033
HATCHING:PEC-FIN (DANIO);ZFS:0000034
LARVAL:PROTRUDING-MOUTH (DANIO);ZFS:0000035
LARVAL:DAY 4 (DANIO);ZFS:0000036
LARVAL:DAY 5 (DANIO);ZFS:0000037
